6	0	64	1	64	0
6	1	64	2	80	16
6	2	64	4	112	48
6	3	64	8	176	112
6	4	64	16	304	240
6	5	64	32	560	496
6	6	64	64	1072	1008
6	7	64	128	2096	2032
6	8	64	256	4144	4080
6	9	64	512	8240	8176
6	10	64	1024	16432	16368
6	11	64	2048	32816	32752
6	12	64	4096	65584	65520
6	13	64	8192	131120	131056
6	14	64	16384	262192	262128
6	15	64	32768	524336	524272
6	16	64	65536	1048624	1048560
6	17	64	131072	2097200	2097136
6	18	64	262144	4194352	4194288
6	19	64	524288	8388656	8388592
6	20	64	1048576	16777264	16777200

7	0	128	1	128	0
7	1	128	2	144	16
7	2	128	4	176	48
7	3	128	8	240	112
7	4	128	16	368	240
7	5	128	32	624	496
7	6	128	64	1136	1008
7	7	128	128	2160	2032
7	8	128	256	4208	4080
7	9	128	512	8304	8176
7	10	128	1024	16496	16368
7	11	128	2048	32880	32752
7	12	128	4096	65648	65520
7	13	128	8192	131184	131056
7	14	128	16384	262256	262128
7	15	128	32768	524400	524272
7	16	128	65536	1048688	1048560
7	17	128	131072	2097264	2097136
7	18	128	262144	4194416	4194288
7	19	128	524288	8388720	8388592
7	20	128	1048576	16777328	16777200

8	0	256	1	256	0
8	1	256	2	272	16
8	2	256	4	304	48
8	3	256	8	368	112
8	4	256	16	496	240
8	5	256	32	752	496
8	6	256	64	1264	1008
8	7	256	128	2288	2032
8	8	256	256	4336	4080
8	9	256	512	8432	8176
8	10	256	1024	16624	16368
8	11	256	2048	33008	32752
8	12	256	4096	65776	65520
8	13	256	8192	131312	131056
8	14	256	16384	262384	262128
8	15	256	32768	524528	524272
8	16	256	65536	1048816	1048560
8	17	256	131072	2097392	2097136
8	18	256	262144	4194544	4194288
8	19	256	524288	8388848	8388592
8	20	256	1048576	16777456	16777200

9	0	512	1	512	0
9	1	512	2	528	16
9	2	512	4	560	48
9	3	512	8	624	112
9	4	512	16	752	240
9	5	512	32	1008	496
9	6	512	64	1520	1008
9	7	512	128	2544	2032
9	8	512	256	4592	4080
9	9	512	512	8688	8176
9	10	512	1024	16880	16368
9	11	512	2048	33264	32752
9	12	512	4096	66032	65520
9	13	512	8192	131568	131056
9	14	512	16384	262640	262128
9	15	512	32768	524784	524272
9	16	512	65536	1049072	1048560
9	17	512	131072	2097648	2097136
9	18	512	262144	4194800	4194288
9	19	512	524288	8389104	8388592
9	20	512	1048576	16777712	16777200

10	0	1024	1	1024	0
10	1	1024	2	1040	16
10	2	1024	4	1072	48
10	3	1024	8	1136	112
10	4	1024	16	1264	240
10	5	1024	32	1520	496
10	6	1024	64	2032	1008
10	7	1024	128	3056	2032
10	8	1024	256	5104	4080
10	9	1024	512	9200	8176
10	10	1024	1024	17392	16368
10	11	1024	2048	33776	32752
10	12	1024	4096	66544	65520
10	13	1024	8192	132080	131056
10	14	1024	16384	263152	262128
10	15	1024	32768	525296	524272
10	16	1024	65536	1049584	1048560
10	17	1024	131072	2098160	2097136
10	18	1024	262144	4195312	4194288
10	19	1024	524288	8389616	8388592
10	20	1024	1048576	16778224	16777200

11	0	2048	1	2048	0
11	1	2048	2	2064	16
11	2	2048	4	2096	48
11	3	2048	8	2160	112
11	4	2048	16	2288	240
11	5	2048	32	2544	496
11	6	2048	64	3056	1008
11	7	2048	128	4080	2032
11	8	2048	256	6128	4080
11	9	2048	512	10224	8176
11	10	2048	1024	18416	16368
11	11	2048	2048	34800	32752
11	12	2048	4096	67568	65520
11	13	2048	8192	133104	131056
11	14	2048	16384	264176	262128
11	15	2048	32768	526320	524272
11	16	2048	65536	1050608	1048560
11	17	2048	131072	2099184	2097136
11	18	2048	262144	4196336	4194288
11	19	2048	524288	8390640	8388592
11	20	2048	1048576	16779248	16777200

12	0	4096	1	4096	0
12	1	4096	2	4112	16
12	2	4096	4	4144	48
12	3	4096	8	4208	112
12	4	4096	16	4336	240
12	5	4096	32	4592	496
12	6	4096	64	5104	1008
12	7	4096	128	6128	2032
12	8	4096	256	8176	4080
12	9	4096	512	12272	8176
12	10	4096	1024	20464	16368
12	11	4096	2048	36848	32752
12	12	4096	4096	69616	65520
12	13	4096	8192	135152	131056
12	14	4096	16384	266224	262128
12	15	4096	32768	528368	524272
12	16	4096	65536	1052656	1048560
12	17	4096	131072	2101232	2097136
12	18	4096	262144	4198384	4194288
12	19	4096	524288	8392688	8388592
12	20	4096	1048576	16781296	16777200

13	0	8192	1	8192	0
13	1	8192	2	8208	16
13	2	8192	4	8240	48
13	3	8192	8	8304	112
13	4	8192	16	8432	240
13	5	8192	32	8688	496
13	6	8192	64	9200	1008
13	7	8192	128	10224	2032
13	8	8192	256	12272	4080
13	9	8192	512	16368	8176
13	10	8192	1024	24560	16368
13	11	8192	2048	40944	32752
13	12	8192	4096	73712	65520
13	13	8192	8192	139248	131056
13	14	8192	16384	270320	262128
13	15	8192	32768	532464	524272
13	16	8192	65536	1056752	1048560
13	17	8192	131072	2105328	2097136
13	18	8192	262144	4202480	4194288
13	19	8192	524288	8396784	8388592
13	20	8192	1048576	16785392	16777200

14	0	16384	1	16384	0
14	1	16384	2	16400	16
14	2	16384	4	16432	48
14	3	16384	8	16496	112
14	4	16384	16	16624	240
14	5	16384	32	16880	496
14	6	16384	64	17392	1008
14	7	16384	128	18416	2032
14	8	16384	256	20464	4080
14	9	16384	512	24560	8176
14	10	16384	1024	32752	16368
14	11	16384	2048	49136	32752
14	12	16384	4096	81904	65520
14	13	16384	8192	147440	131056
14	14	16384	16384	278512	262128
14	15	16384	32768	540656	524272
14	16	16384	65536	1064944	1048560
14	17	16384	131072	2113520	2097136
14	18	16384	262144	4210672	4194288
14	19	16384	524288	8404976	8388592
14	20	16384	1048576	16793584	16777200

15	0	32768	1	32768	0
15	1	32768	2	32784	16
15	2	32768	4	32816	48
15	3	32768	8	32880	112
15	4	32768	16	33008	240
15	5	32768	32	33264	496
15	6	32768	64	33776	1008
15	7	32768	128	34800	2032
